Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20050317X00327,Accident,DFW05FA082,2005-03-08,"HOT SPRINGS, AR",United States,34.483611,-93.069167,HOT,Hot Springs Memorial Airport,Fatal(1),Substantial,N8382U,Cessna,172F,No,1,Piston,Personal,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,07-07-2005,1.0,1.0,1.0,False,Cessna 172F
20050315X00312,Accident,MIA05WA073,2005-03-08,"Caracas, Venezuela",Venezuela,10.283611,-66.801389,,,Fatal(2),Destroyed,,Cessna,500,No,1,,Executive/corporate,2.0,0.0,0.0,0.0,IMC,,Foreign,15-03-2005,2.0,2.0,1.0,True,Cessna 500
20050311X00301,Accident,LAX05LA110,2005-03-09,"TUCSON, AZ",United States,32.409444,-111.218334,AVQ,Marana Regional,Non-Fatal,Substantial,N4530F,Cessna,A185E,No,1,Piston,Personal,0.0,0.0,0.0,5.0,VMC,Landing,Probable Cause,28-02-2006,5.0,0.0,0.0,False,Cessna A185E
20050323X00351,Accident,IAD05LA043A,2005-03-09,"FREDERICK, MD",United States,39.4175,-77.374167,FDK,FREDERICK MUNI,Non-Fatal,Substantial,N711DA,Cessna,172N,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-02-2006,2.0,0.0,0.0,False,Cessna 172N
20050314X00310,Accident,DFW05WA089,2005-03-09,"BELIZE CITY, BELIZE",Belize,,,,,Non-Fatal,Substantial,,Cessna,208B,No,1,,,0.0,1.0,7.0,6.0,VMC,,Foreign,14-03-2005,14.0,1.0,0.07142857142857142,False,Cessna 208B
20050318X00334,Accident,DFW05LA085,2005-03-09,"FORT WORTH, TX",United States,32.565,-97.308056,FWS,Fort Worth Spinks Airport,Non-Fatal,Substantial,N2315R,Cessna,182G,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 182G
20050317X00322,Accident,ATL05FA061,2005-03-09,"TUPELO, MS",United States,34.269167,-88.771945,TUP,Tupelo Regional Airport,Non-Fatal,Substantial,N660RM,Canadair,CL-600,No,2,Turbo Fan,Business,0.0,0.0,0.0,7.0,VMC,Takeoff,Probable Cause,27-10-2005,7.0,0.0,0.0,False,Canadair CL-600
20050323X00351,Accident,IAD05LA043B,2005-03-09,"Frederick, MD",United States,39.4175,-77.374167,FDK,FREDERICK MUNI,Non-Fatal,Minor,N3513F,Cessna,172R,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-02-2006,2.0,0.0,0.0,False,Cessna 172R
20050317X00328,Accident,DFW05FA086,2005-03-10,"SHELBYVILLE, TX",United States,31.751111,-94.000556,,,Fatal(3),Substantial,N85BH,Bell,206B-3,No,1,Turbo Shaft,Aerial Application,3.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,29-11-2006,3.0,3.0,1.0,False,Bell 206B-3
20050317X00329,Accident,DFW05CA084,2005-03-10,"GILBERT, LA",United States,32.014167,-91.663889,,,Non-Fatal,Substantial,N5327,Grumman,G-164A,No,1,Piston,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,22-01-2014,1.0,0.0,0.0,False,Grumman G-164A
